"Jabatan","Perusahaan","Alamat","Gaji","Kategori"
"Senior Mobile Developer","PT Extramarks Education Indonesia","Jakarta Selatan, Jakarta Raya","","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Sekretaris bagian IT","Perkumpulan Dokter Spesialis Urologi Indonesia","Jakarta Utara, Jakarta Raya","Rp 3.500.000 – Rp 4.000.000 per month","subClassification: Asisten Pribadi, Asisten Eksekutif & SekretarialAsisten Pribadi, Asisten Eksekutif & Sekretarialclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Internship (Period: February)","PT Surya Semesta Internusa, Tbk","Jakarta Selatan, Jakarta Raya","Rp 2,500,000 – Rp 3,000,000 per month","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Admin Warehouse dan Admin Purchasing","PT MUMUSO TRADING INDONESIA","Jakarta Utara, Jakarta Raya","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Business Analyst ( software Development )","PT GARUDA DATA TEKNOLOGI","Jakarta Barat, Jakarta Raya","Rp 10.000.000 – Rp 15.000.000 per month","subClassification: Analis Bisnis/SistemAnalis Bisnis/Sistemclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Senior Golang Developer","PT Karisma Zona Kreatifku","Jakarta Selatan, Jakarta Raya","Rp 10,000,000 – Rp 14,000,000 per month","subClassification: Teknik – Perangkat LunakTeknik – Perangkat Lunakclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Senior Web Developer","PT Extramarks Education Indonesia","Jakarta Selatan, Jakarta Raya","","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Executive Assistant","","Jawa Barat","","subClassification: Asisten Pribadi, Asisten Eksekutif & SekretarialAsisten Pribadi, Asisten Eksekutif & Sekretarialclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Personal Assistant to Chairwoman","Paramount Enterprise","Tangerang, Banten","","subClassification: Asisten Pribadi, Asisten Eksekutif & SekretarialAsisten Pribadi, Asisten Eksekutif & Sekretarialclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"HC Support Staff ( Life Insurance)","PT Asuransi Jiwa BCA","Jakarta Pusat, Jakarta Raya","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Transfer Technology Staff","PT Mane Indonesia","Cikarang Utara, Jawa Barat","","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Staff Sales Admin","PT Trafoindo Prima Perkasa","Jakarta Pusat, Jakarta Raya","Rp 5,000,000 – Rp 5,500,000 per month","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Staff PBF Operations","","Jakarta Selatan, Jakarta Raya","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Secretary to Director","Paramount Enterprise","Tangerang, Banten","","subClassification: Asisten Pribadi, Asisten Eksekutif & SekretarialAsisten Pribadi, Asisten Eksekutif & Sekretarialclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Network engineer","PT. Lintas Teknologi Indonesia","Jakarta Selatan, Jakarta Raya","","subClassification: Administrasi Jaringan & SistemAdministrasi Jaringan & Sistemclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Fullstack Developer (NodeJS)","PT Delta Sinergi Prima","Jakarta Selatan, Jakarta Raya","Rp 6.000.000 – Rp 9.000.000 per month","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"ICT Infrastructure Staff","PT Maybank Indonesia Finance","Jakarta Pusat, Jakarta Raya","","subClassification: Meja Bantuan & Dukungan ITMeja Bantuan & Dukungan ITclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"IT Support Staff","PT Medquest Jaya Global","Jakarta Pusat, Jakarta Raya","","subClassification: Meja Bantuan & Dukungan ITMeja Bantuan & Dukungan ITclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"ADMIN STAFF (MANDARIN SPEAKER)","PT JTE Music Indonesia","Jakarta Utara, Jakarta Raya","Rp 5,000,000 – Rp 6,000,000 per month","subClassification: Administrasi KontrakAdministrasi Kontrakclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Document Controller (Mandarin Speaker)","PT.Gotion Indonesia Materials","Jakarta Selatan, Jakarta Raya","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"IT Support","PT Putra Alam Teknologi","Kabupaten Bekasi, Jawa Barat","Rp 4,500,000 – Rp 5,500,000 per month","subClassification: Meja Bantuan & Dukungan ITMeja Bantuan & Dukungan ITclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Spesialis IT Governance dan Quality Management","PT Biro Klasifikasi Indonesia (Persero)","Jakarta Utara, Jakarta Raya","","subClassification: Uji Coba & Penjaminan MutuUji Coba & Penjaminan Mutuclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Admin Online","PT Changhong Electric Indonesia","Jakarta Pusat, Jakarta Raya","Rp 4.000.000 – Rp 5.000.000 per month","subClassification: Administrasi Klien & PenjualanAdministrasi Klien & Penjualanclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Secretary cum Admin","","Jakarta Selatan, Jakarta Raya","","subClassification: Asisten Pribadi, Asisten Eksekutif & SekretarialAsisten Pribadi, Asisten Eksekutif & Sekretarialclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Network Engineer - PT. Lippo Malls Indonesia","PT Lippo Malls Indonesia","Tangerang, Banten","","subClassification: Administrasi Jaringan & SistemAdministrasi Jaringan & Sistemclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Admin Sales","PT. Bina Sukses Integrasi","Jakarta Utara, Jakarta Raya","Rp 3.000.000 – Rp 3.500.000 per month","subClassification: Administrasi Klien & PenjualanAdministrasi Klien & Penjualanclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Full Stack Developer, Group Operations & Technology","PT. Cantik Alami Sehat","Jakarta Barat, Jakarta Raya","","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Admin Staff","PT Hyper Mega Shipping","Jakarta Pusat, Jakarta Raya","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"System Analyst","PT GLOBAL LOYALTY INDONESIA","Tangerang, Banten","","subClassification: Analis Bisnis/SistemAnalis Bisnis/Sistemclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"System Administrator","PT NAP Info Lintas Nusa","Jakarta Selatan, Jakarta Raya","","subClassification: Administrasi Jaringan & SistemAdministrasi Jaringan & Sistemclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Staff Admin Teknik","PT BRINGIN KARYA SEJAHTERA","Jakarta Selatan, Jakarta Raya","Rp 5,000,000 – Rp 5,500,000 per month","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Admin Project","PT Centrin Online Prima","Jakarta Selatan, Jakarta Raya","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Indoor Marketing Junior Staff","PT Posco Indonesia Jakarta Processing Center","Karawang, Jawa Barat","","subClassification: Manajemen PerkantoranManajemen Perkantoranclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Supervisor Helpdesk & Monitoring","PT Abadi Tambah Mulia Internasional","Jakarta Selatan, Jakarta Raya","Rp 5,000,000 – Rp 7,500,000 per month","subClassification: Meja Bantuan & Dukungan ITMeja Bantuan & Dukungan ITclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Admin Trade Marketing","PT Unitama Sari Mas","Jakarta Utara, Jakarta Raya","Rp 4,800,000 – Rp 5,000,000 per month","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"IT Technician (MANDARIN SPEAKING)","KKV INTERNATIONAL INDONESIA","Jakarta Barat, Jakarta Raya","Rp 6,000,000 – Rp 8,000,000 per month","subClassification: Administrasi Jaringan & SistemAdministrasi Jaringan & Sistemclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Contract Manager (MANDARIN SPEAKER)","PT ZTE Indonesia","Jakarta Pusat, Jakarta Raya","Rp 15,000,000 – Rp 20,000,000 per month","subClassification: ManajemenManajemenclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"ASSISTANT DIRECTOR","PT Mandiri Global Citra","Tangerang, Banten","","subClassification: Asisten Pribadi, Asisten Eksekutif & SekretarialAsisten Pribadi, Asisten Eksekutif & Sekretarialclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"IT Consultant (SAP Engineer)","PT OS Selnajaya Indonesia","Jakarta Selatan, Jakarta Raya","Rp 35,000,000 – Rp 50,000,000 per month","subClassification: KonsultanKonsultanclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"STAFF ADMINISTRASI","PT ASIA GRAND INTERNATIONAL","Cikarang","Rp 4,000,000 – Rp 5,000,000 per month","subClassification: LainnyaLainnyaclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Sales Support Coordinator","PT Schenker Logistics Indonesia","Jakarta Selatan, Jakarta Raya","","subClassification: Administrasi Klien & PenjualanAdministrasi Klien & Penjualanclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Product Development Manager","PT Multi Indocitra Tbk","Jakarta Barat, Jakarta Raya","","subClassification: Manajemen & Pengembangan ProdukManajemen & Pengembangan Produkclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Admin Sales & Marketing","PT Maruni Daya Sakti","Jakarta Barat, Jakarta Raya","Rp 4,901,798 – Rp 5,300,000 per month","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"IT Security","PT Sarana Pactindo","Tangerang, Banten","Rp 4,600,000 – Rp 5,000,000 per month","subClassification: KeamananKeamananclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Business Analyst Datawarehouse","PT Fortress Data Services","Tangerang, Banten","","subClassification: Analis Bisnis/SistemAnalis Bisnis/Sistemclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Admin Bengkel (Maternity Leave)","PT Parama Sutera Autotren (Honda Tren Alam Sutera)","Tangerang, Banten","","subClassification: Administrasi Klien & PenjualanAdministrasi Klien & Penjualanclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Sales Administrator","PT LG ELectronics Indonesia","Jakarta Utara, Jakarta Raya","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"IT Cyber Security Specialist","OLX Indonesia","Jakarta Selatan, Jakarta Raya","","subClassification: KeamananKeamananclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Personal Assistant For Manager Sales (Speak Mandarin)","PT Noivern Mandiri Indonesia","Tangerang, Banten","Rp 7,000,000 – Rp 9,000,000 per month","subClassification: Asisten Pribadi, Asisten Eksekutif & SekretarialAsisten Pribadi, Asisten Eksekutif & Sekretarialclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Japanese Translator (PROJECT)","PT Lotte Indonesia","Cikarang Selatan, Jawa Barat","Rp 8,000,000 – Rp 10,000,000 per month","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Regulatory Office (BPOM)","PT. SHIMEI KOSMETIKO INDONESIA","Pagedangan, Banten","Rp 4.000.000 – Rp 6.000.000 per month","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"DevOps Engineer","PT Akseleran Keuangan Inklusif Indonesia","Jakarta Pusat, Jakarta Raya","","subClassification: Administrasi Jaringan & SistemAdministrasi Jaringan & Sistemclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"STAFF ADMINISTRASI PURCHASING","PANEN RAYA REJEKI GEMILANG","Jakarta Timur, Jakarta Raya","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"EPM Application Developer (IBM Cognos TM1)","PT Rsystems Ibizcs International","Jakarta Utara, Jakarta Raya","Rp 15,000,000 – Rp 20,000,000 per month","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Backend Developer (NodeJS)","OLX Indonesia","Jakarta Selatan, Jakarta Raya","","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Penerjemah Mandarin","PT Hua Hai Tong Live Streaming","Jakarta Utara, Jakarta Raya","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Power Builder Developer","PT. KOBUS SMART SERVICE","Kabupaten Bekasi, Jawa Barat","Rp 7,000,000 – Rp 10,000,000 per month","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Protokoler Direksi (Sekretariat Perusahaan)","PT PERMODALAN NASIONAL MADANI","Jakarta Selatan, Jakarta Raya","","subClassification: Asisten Pribadi, Asisten Eksekutif & SekretarialAsisten Pribadi, Asisten Eksekutif & Sekretarialclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Staff Administrasi","PT Centra Multi Elektrindo","Jakarta Pusat, Jakarta Raya","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Frontend Developer (PWA)","OLX Indonesia","Jakarta Selatan, Jakarta Raya","","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Staff Admin","PT Friendship Logistics Line","Jakarta Utara, Jakarta Raya","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Admin","PT Eblo Teknologi Indonesia","Jakarta Selatan, Jakarta Raya","","subClassification: Administrasi Klien & PenjualanAdministrasi Klien & Penjualanclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"STAFF ADMIN","PT Svarna Dipa","Jakarta Barat, Jakarta Raya","Rp 4,584,519 – Rp 6,418,327 per month","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
